customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,cluster,segment,segment_description
CUST_00019,19,12,10085.54,4,4,4,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00020,111,12,12933.24,1,4,5,10,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00021,91,10,12042.23,1,3,5,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00022,45,9,5284.13,2,2,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00023,11,10,7594.4800000000005,5,3,3,11,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00024,14,13,11830.82,4,4,5,13,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00025,30,7,6635.25,3,1,3,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00026,97,6,3983.44,1,1,1,3,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00027,58,5,2573.9500000000003,2,1,1,4,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00028,110,10,7565.44,1,3,3,7,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00029,146,12,11014.4,1,4,5,10,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00030,53,5,1943.34,2,1,1,4,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00031,50,10,7160.1,2,3,3,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00032,7,11,10432.06,5,3,5,13,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00033,158,6,4097.37,1,1,1,3,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00034,6,17,10756.01,5,5,5,15,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00035,40,15,12763.72,3,5,5,13,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00036,52,14,10682.67,2,5,5,12,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00037,86,10,7459.36,1,3,3,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00038,59,8,5562.29,2,2,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00039,198,8,6703.640000000001,1,2,3,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00040,27,16,10739.51,3,5,5,13,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00041,107,9,7601.74,1,2,3,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00042,153,11,6217.0199999999995,1,3,2,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00043,22,11,9193.51,4,3,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00044,38,14,9105.6,3,5,4,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00045,46,13,10903.4,2,4,5,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00046,50,13,11419.039999999999,2,4,5,11,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00047,23,7,4947.85,4,1,1,6,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00048,18,8,8187.5199999999995,4,2,4,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00049,45,14,14492.92,2,5,5,12,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00050,33,13,12441.35,3,4,5,12,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00051,3,10,11449.880000000001,5,3,5,13,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00052,70,9,4466.47,2,2,1,5,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00053,115,15,10945.32,1,5,5,11,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00054,16,13,9550.08,4,4,4,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00055,57,9,4776.4800000000005,2,2,1,5,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00056,43,7,6182.86,3,1,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00057,7,13,13865.44,5,4,5,14,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00058,77,8,4646.97,2,2,1,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00059,23,16,12564.69,4,5,5,14,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00060,52,9,5946.16,2,2,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00061,31,12,10614.09,3,4,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00062,50,11,11808.76,2,3,5,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00063,6,7,8179.57,5,1,4,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00064,175,9,5163.04,1,2,2,5,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00065,26,12,7650.719999999999,3,4,3,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00066,17,6,4549.110000000001,4,1,1,6,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00067,29,10,9614.18,3,3,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00068,30,11,8407.86,3,3,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00069,127,8,7100.9400000000005,1,2,3,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00070,32,11,3427.45,3,3,1,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00071,3,11,10340.08,5,3,5,13,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00072,6,4,2274.88,5,1,1,7,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00073,6,15,12266.89,5,5,5,15,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00074,21,10,5761.96,4,3,2,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00075,11,12,9100.15,5,4,4,13,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00076,33,11,11120.539999999999,3,3,5,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00077,19,8,6264.06,4,2,2,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00078,28,7,3154.19,3,1,1,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00079,30,15,11590.86,3,5,5,13,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00080,39,13,10315.19,3,4,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00081,59,6,3729.83,2,1,1,4,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00082,128,4,2391.4300000000003,1,1,1,3,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00083,29,13,7919.86,3,4,3,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00084,20,15,12719.43,4,5,5,14,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00085,30,12,7229.150000000001,3,4,3,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00086,23,11,8161.18,4,3,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00087,141,8,7443.74,1,2,3,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00088,17,11,7083.41,4,3,3,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00089,33,10,8004.44,3,3,3,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00090,33,12,11108.84,3,4,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00091,99,10,8771.49,1,3,4,8,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00092,55,7,6651.25,2,1,3,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00093,9,7,6630.62,5,1,3,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00094,2,13,6582.98,5,4,2,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00095,3,19,17221.16,5,5,5,15,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00096,40,7,5757.58,3,1,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00097,50,9,4877.85,2,2,1,5,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00098,10,10,9593.95,5,3,4,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00099,120,12,10298.75,1,4,5,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00100,10,11,10051.49,5,3,4,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00101,7,12,6137.63,5,4,2,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00102,48,6,6275.39,2,1,2,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00103,30,10,6241.46,3,3,2,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00104,15,9,5038.34,4,2,2,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00105,3,10,10798.19,5,3,5,13,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00106,373,6,3912.08,1,1,1,3,1,Lost,Lowest scores. Attempt win-back campaigns.
CUST_00107,212,11,7030.46,1,3,3,7,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00108,215,9,7747.26,1,2,3,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00109,8,8,4918.57,5,2,1,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00110,54,8,8359.789999999999,2,2,4,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00111,205,7,3970.51,1,1,1,3,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00112,16,7,3233.56,4,1,1,6,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00113,121,7,4337.87,1,1,1,3,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00114,40,9,8682.27,3,2,4,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00115,174,6,4230.59,1,1,1,3,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00116,21,14,11227.8,4,5,5,14,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00117,21,8,6462.45,4,2,2,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00118,45,9,3922.54,2,2,1,5,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00119,102,11,7144.67,1,3,3,7,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00120,126,6,4859.24,1,1,1,3,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00121,105,11,6536.13,1,3,2,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00122,24,9,6717.99,4,2,3,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00123,144,7,3475.1400000000003,1,1,1,3,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00124,285,6,7591.98,1,1,3,5,1,Lost,Lowest scores. Attempt win-back campaigns.
CUST_00125,3,11,6067.76,5,3,2,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00126,29,6,7283.2300000000005,3,1,3,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00127,46,10,7868.71,2,3,3,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00128,337,5,3307.07,1,1,1,3,1,Lost,Lowest scores. Attempt win-back campaigns.
CUST_00129,107,12,8300.539999999999,1,4,4,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00130,150,6,4392.37,1,1,1,3,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00131,29,7,6446.03,3,1,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00132,59,13,8680.470000000001,2,4,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00133,45,12,7102.16,2,4,3,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00134,38,8,3892.93,3,2,1,6,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00135,60,11,10045.68,2,3,4,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00136,81,12,6909.3,2,4,3,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00137,45,13,12891.59,2,5,5,12,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00138,44,12,9049.69,3,4,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00139,30,10,9528.97,3,3,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00140,52,7,6441.75,2,1,2,5,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00141,23,9,7309.06,4,2,3,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00142,146,10,5883.13,1,3,2,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00143,14,8,4377.51,4,2,1,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00144,5,11,6729.51,5,3,3,11,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00145,4,8,5671.7699999999995,5,2,2,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00146,2,10,6423.68,5,3,2,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00147,40,14,13181.45,3,5,5,13,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00148,25,12,8166.03,4,4,4,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00149,35,9,4402.08,3,2,1,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00150,50,6,4001.87,2,1,1,4,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00151,83,7,3382.27,1,1,1,3,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00152,2,14,11193.93,5,5,5,15,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00153,76,6,6238.16,2,1,2,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00154,16,11,9175.15,4,3,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00155,346,5,3353.33,1,1,1,3,1,Lost,Lowest scores. Attempt win-back campaigns.
CUST_00156,37,8,1935.82,3,2,1,6,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00157,90,11,9049.35,1,3,4,8,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00158,9,9,6901.0,5,2,3,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00159,72,5,5435.67,2,1,2,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00160,17,7,5514.68,4,1,2,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00161,10,9,10250.869999999999,5,2,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00162,38,8,6149.58,3,2,2,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00163,36,9,6941.95,3,2,3,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00164,21,11,6534.33,4,3,2,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00165,75,15,7498.03,2,5,3,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00166,66,9,7590.35,2,2,3,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00167,8,11,9657.12,5,3,4,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00168,120,8,5824.51,1,2,2,5,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00169,45,14,13585.63,2,5,5,12,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00170,87,5,4552.16,1,1,1,3,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00171,157,8,6852.41,1,2,3,6,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00172,138,11,8084.67,1,3,3,7,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00173,20,10,7270.58,4,3,3,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00174,58,6,7177.74,2,1,3,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00175,188,15,13951.81,1,5,5,11,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00176,19,11,7019.8,4,3,3,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00177,7,9,6161.6900000000005,5,2,2,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00178,4,9,8044.49,5,2,3,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00179,29,8,5138.67,3,2,2,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00180,60,15,12987.55,2,5,5,12,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00181,133,4,4600.63,1,1,1,3,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00182,47,7,6296.91,2,1,2,5,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00183,162,9,9482.0,1,2,4,7,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00184,45,10,8617.93,2,3,4,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00185,24,14,9351.77,4,5,4,13,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00186,10,7,3852.48,5,1,1,7,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00187,1,10,5419.55,5,3,2,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00188,28,5,1861.6799999999998,3,1,1,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00189,35,12,9817.69,3,4,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00190,75,13,10487.25,2,5,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00191,109,10,7111.77,1,3,3,7,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00192,44,12,10781.45,3,4,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00193,126,12,8126.29,1,4,4,9,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00194,3,9,6156.71,5,2,2,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00195,211,6,4698.0,1,1,1,3,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00196,5,12,10965.35,5,4,5,14,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00197,46,13,11874.960000000001,2,5,5,12,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00198,79,4,4466.0599999999995,2,1,1,4,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00199,52,6,4049.12,2,1,1,4,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00200,15,10,10613.91,4,3,5,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00201,355,1,2335.9,1,1,1,3,1,Lost,Lowest scores. Attempt win-back campaigns.
CUST_00202,54,12,8899.65,2,4,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00203,26,13,14990.76,3,5,5,13,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00204,77,8,6151.79,2,2,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00205,14,10,8666.68,4,3,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00206,44,10,6923.6900000000005,3,3,3,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00207,68,12,7370.97,2,4,3,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00208,170,8,6447.33,1,2,2,5,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00209,58,16,8621.51,2,5,4,11,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00210,12,8,8869.3,4,2,4,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00211,24,8,7890.33,4,2,3,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00212,1,18,12823.1,5,5,5,15,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00213,5,5,2734.76,5,1,1,7,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00214,30,12,9229.77,3,4,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00215,127,7,6533.09,1,1,2,4,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00216,36,10,6216.45,3,3,2,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00217,61,8,5389.87,2,2,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00218,104,9,6477.040000000001,1,2,2,5,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00219,37,14,11697.64,3,5,5,13,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00220,20,10,5481.71,4,3,2,9,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00221,4,6,1621.4299999999998,5,1,1,7,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00222,192,6,5149.82,1,1,2,4,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00223,50,8,5790.58,2,2,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00224,19,9,5659.15,4,2,2,8,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00225,92,11,13132.97,1,3,5,9,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00226,2,11,7354.110000000001,5,3,3,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00227,1,13,7446.9400000000005,5,5,3,13,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00228,30,7,5568.219999999999,3,1,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00229,30,8,4066.8,3,2,1,6,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00230,26,5,2492.86,3,1,1,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00231,65,12,7168.57,2,4,3,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00232,34,11,9849.67,3,3,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00233,25,11,9516.06,4,3,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00234,71,11,8174.72,2,3,4,9,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00235,77,8,4816.48,2,2,1,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00236,110,9,8739.76,1,2,4,7,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00237,3,12,6312.27,5,4,2,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00238,1,14,12412.210000000001,5,5,5,15,4,Champions,"Bought recently, buy often, spend the most. Reward them."
CUST_00239,4,7,2582.53,5,1,1,7,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00240,8,13,7878.3,5,5,3,13,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00241,2,9,7932.35,5,2,3,10,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00242,64,8,6181.4,2,2,2,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00243,114,8,6028.7,1,2,2,5,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00244,153,6,5786.07,1,1,2,4,0,At Risk,Above-average customers who haven't bought recently. Reactivate urgently.
CUST_00245,33,10,9397.55,3,3,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00246,58,12,8995.7,2,4,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00247,22,11,9978.99,4,3,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00248,68,13,9324.57,2,5,4,11,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00249,86,10,7967.77,1,3,3,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00250,58,9,7920.11,2,2,3,7,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00251,36,8,4839.85,3,2,1,6,2,Potential Loyalists,Recent customers with decent frequency. Nurture with offers.
CUST_00252,1,13,9546.01,5,5,4,14,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00253,27,11,9934.800000000001,3,3,4,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00254,42,6,5887.72,3,1,2,6,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00255,8,12,6614.82,5,4,3,12,5,Loyal Customers,Buy regularly. Offer loyalty programs.
CUST_00256,59,8,4620.51,2,2,1,5,3,Hibernating,"Low R, F, M scores. May be slipping away."
CUST_00257,12,11,7992.76,4,3,3,10,5,Loyal Customers,Buy regularly. Offer loyalty programs.
